name,starting_price,winner_bid,timestamp
SHADOW,3000.0,3500,2020-11-25 13:03:40
Iličić,5600.0,5900,2020-11-25 14:41:58
CATALYST,400.0,550,2020-11-25 14:41:58
CATALYST,350.0,550,2020-11-25 14:41:58
CATALYST,350.0,500,2020-11-25 14:41:58
Iličić,5800.0,6100,2020-11-25 14:56:03
ter Stegen,44000.0,44250,2020-11-25 20:09:28
CATALYST,450.0,500,2020-11-25 20:09:28
CATALYST,400.0,700,2020-11-25 20:09:28
CATALYST,350.0,450,2020-11-25 20:09:28
SHADOW,2800.0,2800,2020-11-25 20:09:28
SHADOW,2800.0,2800,2020-11-25 20:09:28
Walker,70000.0,73500,2020-11-25 22:38:52
CATALYST,400.0,1000,2020-11-25 22:38:52
SHADOW,2800.0,2900,2020-11-25 22:38:52
Gulácsi,25500.0,26250,2020-11-26 04:23:30
SHADOW,2800.0,2900,2020-11-26 04:23:30
CATALYST,400.0,600,2020-11-26 05:34:14
CATALYST,400.0,500,2020-11-26 05:34:14
CATALYST,400.0,400,2020-11-26 05:34:14
CATALYST,350.0,450,2020-11-26 05:34:14
CATALYST,400.0,550,2020-11-26 05:34:14
Gulácsi,26500.0,28000,2020-11-26 09:00:22
Sancho,23000.0,24000,2020-11-26 09:00:22
CATALYST,450.0,500,2020-11-26 09:00:22
SHADOW,2800.0,2900,2020-11-26 09:32:32
Handanovič,29000.0,29500,2020-11-26 10:00:16
Lukaku,57500.0,59500,2020-11-26 10:31:22
CATALYST,400.0,600,2020-11-26 13:24:53
CATALYST,400.0,700,2020-11-26 14:22:18
Douglas Costa,9600.0,13250,2020-11-26 15:08:18
Kane,29500.0,30000,2020-11-26 17:42:01
Navas,22000.0,23000,2020-11-26 17:42:01
Alexander-Arnold,24250.0,24750,2020-11-26 17:42:01
CATALYST,350.0,400,2020-11-26 17:42:01
Navas,23250.0,24250,2020-11-26 17:49:46
CATALYST,400.0,600,2020-11-26 19:46:30
Sterling,65000.0,66500,2020-11-27 15:27:07
Martial,66000.0,67000,2020-11-27 15:27:07
CATALYST,350.0,450,2020-11-27 15:27:07
Wijnaldum,34250.0,39000,2020-11-27 15:59:21
SHADOW,3100.0,3200,2020-11-27 15:59:21
CATALYST,400.0,500,2020-11-27 17:01:33
CATALYST,450.0,1000,2020-11-27 19:39:28
CATALYST,400.0,550,2020-11-27 19:39:28
CATALYST,350.0,550,2020-11-27 19:39:28
CATALYST,350.0,500,2020-11-27 19:39:28
Højbjerg,12250.0,12250,2020-11-27 20:19:55
CATALYST,400.0,500,2020-11-27 20:19:55
CATALYST,250.0,250,2020-11-27 20:19:55
Sterling,58500.0,60500,2020-11-28 02:25:35
SHADOW,2800.0,2900,2020-11-28 02:25:35
SHADOW,2900.0,3000,2020-11-28 02:25:35
Hazard,31000.0,32000,2020-11-28 11:44:34
CATALYST,350.0,400,2020-11-28 11:44:34
CATALYST,400.0,400,2020-11-28 11:44:34
SHADOW,2900.0,2900,2020-11-28 11:44:34
SHADOW,2900.0,3000,2020-11-28 11:44:34
Dybala,28750.0,29000,2020-11-28 15:51:09
Szczęsny,24500.0,24750,2020-11-28 15:51:09
CATALYST,350.0,350,2020-11-28 15:51:09
CATALYST,350.0,550,2020-11-28 15:51:09
CATALYST,350.0,600,2020-11-28 15:51:09
CATALYST,400.0,400,2020-11-28 15:51:09
SHADOW,2800.0,2800,2020-11-28 15:51:09
Neuer,39000.0,39250,2020-11-28 18:46:39
CATALYST,350.0,350,2020-11-28 18:46:39
CATALYST,350.0,350,2020-11-28 18:46:39
CATALYST,400.0,500,2020-11-28 18:46:39
CATALYST,350.0,450,2020-11-28 18:46:39
CATALYST,400.0,550,2020-11-28 18:46:39
SHADOW,2800.0,2900,2020-11-28 18:46:39
